Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
617," Cishek, S",0.583,0.2735,CHC,P,0.469,76,6,1,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.333
624," Navarro, E",0.583,0.0144,CHC,1B,0.025,4,6,0,1,0,0,0,0,0,4,0,0,0.167,0.167,0.167,0.333
645," Chatwood, T",0.583,0.0828,CHC,P,0.142,23,25,3,4,0,0,0,2,1,6,0,0,0.16,0.192,0.16,0.352
687," Hamels, C",0.583,0.0432,CHC,P,0.074,12,25,1,3,0,0,1,1,1,12,0,0,0.12,0.154,0.24,0.394
688," Lester, J",0.583,0.1116,CHC,P,0.191,31,59,4,7,0,0,1,9,0,22,0,0,0.119,0.119,0.169,0.288
727," Montgomery, M",0.583,0.1332,CHC,P,0.228,37,33,1,3,0,0,0,1,1,20,0,0,0.091,0.118,0.091,0.209
734," Darvish, Y",0.583,0.0288,CHC,P,0.049,8,12,0,1,1,0,0,0,0,7,0,0,0.083,0.083,0.167,0.25
740," Quintana, J",0.583,0.1080,CHC,P,0.185,30,52,0,4,0,0,0,0,0,26,0,0,0.077,0.077,0.077,0.154
745," Hendricks, K",0.583,0.1116,CHC,P,0.191,31,60,1,4,1,0,0,1,2,31,0,0,0.067,0.097,0.083,0.18
801," Chavez, J",0.583,0.1080,CHC,P,0.185,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
812," De La Rosa, J",0.583,0.2051,CHC,P,0.352,57,1,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5
816," Duensing, B",0.583,0.1691,CHC,P,0.290,47,1,1,0,0,0,0,0,1,1,0,0,0,0.5,0,0.5
833," Garcia, J",0.583,0.0324,CHC,P,0.056,9,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
846," Hancock, J",0.583,0.0360,CHC,P,0.062,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
872," Kintzler, B",0.583,0.2411,CHC,P,0.414,67,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
905," Morrow, B",0.583,0.1260,CHC,P,0.216,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
910," Norwood, J",0.583,0.0360,CHC,P,0.062,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
959," Strop, P",0.583,0.2051,CHC,P,0.352,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965," Underwood Jr., D",0.583,0.0036,CHC,P,0.006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977," Wilson, J",0.583,0.2411,CHC,P,0.414,67,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1006," Bass, A",0.583,0.0576,CHC,P,0.099,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061," Edwards Jr., C",0.583,0.1979,CHC,P,0.340,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069," Freeman, M",0.583,0.0036,CHC,SS,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132," Maples, D",0.583,0.0288,CHC,P,0.049,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138," Mazzoni, C",0.583,0.0288,CHC,P,0.049,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239," Tseng, J",0.583,0.0036,CHC,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253," Webster, A",0.583,0.0108,CHC,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269," Zastryzny, R",0.583,0.0216,CHC,P,0.037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52," Gennett, S",0.414,0.3936,CIN,2B,0.951,154,584,86,181,30,3,23,92,42,125,4,2,0.31,0.357,0.49,0.847
70," Winker, J",0.414,0.2274,CIN,RF,0.549,89,281,38,84,16,0,7,43,49,46,0,0,0.299,0.405,0.431,0.836
85," Casali, C",0.414,0.1329,CIN,C,0.321,52,140,15,41,10,0,4,16,12,32,0,2,0.293,0.355,0.45,0.805
87," Williams, M",0.414,0.1303,CIN,RF,0.315,51,123,10,36,5,1,2,6,7,29,1,2,0.293,0.331,0.398,0.729
95," Lorenzen, M",0.414,0.1380,CIN,P,0.333,54,31,5,9,1,0,4,10,2,9,0,0,0.29,0.333,0.71,1.043
105," Peraza, J",0.414,0.4012,CIN,SS,0.969,157,632,85,182,31,4,14,58,29,75,23,6,0.288,0.326,0.416,0.742
114," Votto, J",0.414,0.3706,CIN,1B,0.895,145,503,67,143,28,2,12,67,108,101,2,0,0.284,0.417,0.419,0.837
120," Suarez, E",0.414,0.3654,CIN,3B,0.883,143,527,79,149,22,2,34,104,64,142,1,1,0.283,0.366,0.526,0.892
251," Schebler, S",0.414,0.2734,CIN,RF,0.660,107,380,55,97,19,0,17,49,39,99,4,2,0.255,0.337,0.439,0.777
273," Ervin, P",0.414,0.1993,CIN,RF,0.481,78,218,27,55,10,1,7,31,20,60,6,1,0.252,0.324,0.404,0.728
290," Graterol, J",0.414,0.0102,CIN,C,0.025,4,8,2,2,0,0,0,0,1,0,0,0,0.25,0.333,0.25,0.583
311," Barnhart, T",0.414,0.3527,CIN,C,0.852,138,460,50,114,21,3,10,46,54,96,0,4,0.248,0.328,0.372,0.699
375," Hamilton, B",0.414,0.3910,CIN,CF,0.944,153,504,74,119,16,9,4,29,46,132,34,10,0.236,0.299,0.327,0.626
389," Blandino, A",0.414,0.1763,CIN,2B,0.426,69,128,14,30,4,0,1,8,13,41,0,0,0.234,0.324,0.289,0.613
438," Federowicz, T",0.414,0.0383,CIN,C,0.093,15,40,5,9,4,0,1,4,2,16,0,0,0.225,0.262,0.4,0.662
482," Trahan, B",0.414,0.0281,CIN,SS,0.068,11,14,2,3,0,0,0,0,0,4,0,0,0.214,0.214,0.214,0.429
582," Herrera, D",0.414,0.1354,CIN,2B,0.327,53,87,11,16,5,0,5,11,8,39,0,0,0.184,0.268,0.414,0.682
596," Dixon, B",0.414,0.1891,CIN,2B,0.457,74,118,14,21,6,0,5,10,6,43,0,0,0.178,0.218,0.356,0.574
619," Guerrero, G",0.414,0.0358,CIN,RF,0.086,14,18,1,3,0,0,1,1,0,8,0,0,0.167,0.167,0.333,0.5
651," Cruz, T",0.414,0.0230,CIN,C,0.056,9,26,2,4,1,0,1,2,0,11,0,0,0.154,0.154,0.308,0.462
659," DeSclafani, A",0.414,0.0511,CIN,P,0.123,20,42,3,6,0,0,1,4,0,25,0,0,0.143,0.143,0.214,0.357
693," Bailey, H",0.414,0.0486,CIN,P,0.117,19,26,0,3,0,0,0,0,1,13,0,0,0.115,0.148,0.115,0.264
707," Mahle, T",0.414,0.0537,CIN,P,0.130,21,29,0,3,1,0,0,0,2,10,0,0,0.103,0.161,0.138,0.299
710," Castillo, L",0.414,0.0767,CIN,P,0.185,30,59,4,6,1,0,0,2,2,23,0,0,0.102,0.131,0.119,0.25
742," Harvey, M",0.414,0.0818,CIN,P,0.198,32,53,1,4,0,0,0,1,2,19,0,0,0.075,0.109,0.075,0.185
759," Romano, S",0.414,0.0894,CIN,P,0.216,35,36,1,2,1,0,0,2,0,24,0,0,0.056,0.056,0.083,0.139
776," Aquino, A",0.414,0.0026,CIN,RF,0.006,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
793," Brice, A",0.414,0.0818,CIN,P,0.198,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
823," Finnegan, B",0.414,0.0128,CIN,P,0.031,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
835," Garrett, A",0.414,0.1533,CIN,P,0.370,60,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
849," Hernandez, D",0.414,0.1354,CIN,P,0.327,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861," Iglesias, R",0.414,0.1584,CIN,P,0.383,62,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
895," Mella, K",0.414,0.0102,CIN,P,0.025,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
916," Peralta, W",0.414,0.1431,CIN,P,0.346,56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
925," Reed, C",0.414,0.0434,CIN,P,0.105,17,11,0,0,0,0,0,0,1,10,0,0,0,0.083,0,0.083
947," Shackelford, K",0.414,0.0102,CIN,P,0.025,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
950," Sims, L",0.414,0.0204,CIN,P,0.049,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
955," Stephens, J",0.414,0.0716,CIN,P,0.173,28,2,0,0,0,0,0,0,1,1,0,0,0,0.333,0,0.333
956," Stephenson, R",0.414,0.0102,CIN,P,0.025,4,2,0,0,0,0,0,0,1,1,0,0,0,0.333,0,0.333
979," Wisler, M",0.414,0.0434,CIN,P,0.105,17,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1047," Crockett, K",0.414,0.0332,CIN,P,0.080,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103," Hughes, J",0.414,0.1789,CIN,P,0.432,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188," Quackenbush, K",0.414,0.0256,CIN,P,0.062,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189," Rainey, T",0.414,0.0153,CIN,P,0.037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198," Reyes, Je",0.414,0.0128,CIN,P,0.031,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254," Weiss, Z",0.414,0.0026,CIN,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46," Chisenhall, L",0.562,0.1006,CLE,RF,0.179,29,84,11,27,6,1,1,9,8,12,1,0,0.321,0.394,0.452,0.846
51," Diaz, Y",0.562,0.1353,CLE,3B,0.241,39,109,15,34,5,2,1,15,11,19,0,0,0.312,0.375,0.422,0.797
54," Brantley, M",0.562,0.4961,CLE,LF,0.883,143,570,89,176,36,2,17,76,48,60,12,3,0.309,0.364,0.468,0.832
126," Cabrera, M",0.562,0.2706,CLE,RF,0.481,78,250,28,70,17,0,6,39,20,38,1,1,0.28,0.335,0.42,0.755
137," Lindor, F",0.562,0.5481,CLE,SS,0.975,158,661,129,183,42,2,38,92,70,107,25,10,0.277,0.352,0.519,0.871
170," Ramirez, J",0.562,0.5447,CLE,3B,0.969,157,578,110,156,38,4,39,105,106,80,34,6,0.27,0.387,0.552,0.939
190," Gomes, Y",0.562,0.3885,CLE,C,0.691,112,403,52,107,26,0,16,48,21,119,0,0,0.266,0.313,0.449,0.762
194," Gonzalez, E",0.562,0.2810,CLE,2B,0.500,81,136,17,36,10,1,1,16,5,34,3,0,0.265,0.301,0.375,0.676
201," Naquin, T",0.562,0.2116,CLE,RF,0.377,61,174,22,46,7,0,3,23,6,42,1,1,0.264,0.295,0.356,0.651
209," Barnes, B",0.562,0.0659,CLE,CF,0.117,19,19,2,5,0,0,1,2,2,5,0,0,0.263,0.333,0.421,0.754
244," Allen, G",0.562,0.3157,CLE,CF,0.562,91,265,36,68,11,3,2,20,14,58,21,4,0.257,0.31,0.343,0.654
254," Martin, L",0.562,0.2914,CLE,CF,0.519,84,318,48,81,15,3,11,33,30,77,7,4,0.255,0.323,0.425,0.747
284," Alonso, Y",0.562,0.5030,CLE,1B,0.895,145,516,64,129,19,0,23,83,51,123,0,0,0.25,0.317,0.421,0.738
286," Bieber, S",0.562,0.0069,CLE,P,0.012,2,4,0,1,1,0,0,0,1,2,0,0,0.25,0.4,0.5,0.9
287," Carrasco, C",0.562,0.0035,CLE,P,0.006,1,4,0,1,0,0,0,1,0,2,0,0,0.25,0.25,0.25,0.5
324," Encarnacion, E",0.562,0.4753,CLE,DH,0.846,137,500,74,123,16,1,32,107,63,132,3,0,0.246,0.336,0.474,0.81
325," Donaldson, J",0.562,0.1804,CLE,3B,0.321,52,187,30,46,14,0,8,23,31,54,2,0,0.246,0.352,0.449,0.801
415," Kipnis, J",0.562,0.5100,CLE,2B,0.907,147,530,65,122,28,1,18,75,60,112,7,1,0.23,0.315,0.389,0.704
429," Zimmer, B",0.562,0.1180,CLE,CF,0.210,34,106,14,24,5,0,2,9,7,44,4,1,0.226,0.281,0.33,0.611
443," Davis, R",0.562,0.3504,CLE,CF,0.623,101,196,33,44,6,1,1,6,11,48,21,7,0.224,0.278,0.281,0.559
494," Rosales, A",0.562,0.0451,CLE,2B,0.080,13,19,4,4,1,0,1,2,1,5,0,0,0.211,0.25,0.421,0.671
512," Guyer, B",0.562,0.3573,CLE,RF,0.636,103,194,25,40,11,0,7,27,15,48,1,1,0.206,0.3,0.371,0.671
615," Perez, R",0.562,0.2151,CLE,C,0.383,62,179,16,30,9,1,2,19,21,70,1,0,0.168,0.256,0.263,0.519
683," Haase, E",0.562,0.0312,CLE,C,0.056,9,16,0,2,0,0,0,1,0,6,0,0,0.125,0.176,0.125,0.301
781," Bauer, T",0.562,0.0035,CLE,P,0.006,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
803," Cimber, A",0.562,0.1318,CLE,P,0.235,38,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0
804," Clevinger, M",0.562,0.0069,CLE,P,0.012,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
847," Hand, B",0.562,0.1388,CLE,P,0.247,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874," Kluber, C",0.562,0.0104,CLE,P,0.019,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0
898," Miller, A",0.562,0.0104,CLE,P,0.019,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
922," Ramirez, N",0.562,0.0104,CLE,P,0.019,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
990," Allen, C",0.562,0.0139,CLE,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133," Marshall, E",0.562,0.0035,CLE,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166," Olson, T",0.562,0.0104,CLE,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169," Otero, D",0.562,0.0139,CLE,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179," Perez, O",0.562,0.0139,CLE,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182," Plutko, A",0.562,0.0035,CLE,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235," Tomlin, J",0.562,0.0139,CLE,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18," Rusin, C",0.558,0.1550,COL,P,0.278,45,4,0,2,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1
66," Marquez, G",0.558,0.1068,COL,P,0.191,31,60,4,18,0,0,1,5,0,11,0,0,0.3,0.3,0.35,0.65
77," Arenado, N",0.558,0.5373,COL,3B,0.963,156,590,104,175,38,2,38,110,73,122,2,2,0.297,0.374,0.561,0.935
91," Story, T",0.558,0.5408,COL,SS,0.969,157,598,88,174,42,6,37,108,47,168,27,6,0.291,0.348,0.567,0.914
92," Blackmon, C",0.558,0.5373,COL,CF,0.963,156,626,119,182,31,7,29,70,59,134,12,4,0.291,0.358,0.502,0.86
115," Parra, G",0.558,0.4891,COL,LF,0.877,142,401,52,114,17,0,6,53,32,75,11,4,0.284,0.342,0.372,0.714
119," Holliday, M",0.558,0.0861,COL,LF,0.154,25,53,3,15,2,0,2,3,12,18,0,0,0.283,0.415,0.434,0.849
140," Gonzalez, C",0.558,0.4547,COL,RF,0.815,132,463,71,128,32,4,16,64,37,113,5,2,0.276,0.329,0.467,0.796
145," LeMahieu, D",0.558,0.4409,COL,2B,0.790,128,533,90,147,32,2,15,62,37,82,6,5,0.276,0.321,0.428,0.749
147," Hampson, G",0.558,0.0827,COL,2B,0.148,24,40,3,11,3,1,0,4,7,12,2,0,0.275,0.396,0.4,0.796
151," Dahl, D",0.558,0.2652,COL,RF,0.475,77,249,31,68,11,3,16,48,19,68,5,3,0.273,0.325,0.534,0.859
376," Desmond, I",0.558,0.5511,COL,1B,0.988,160,555,82,131,21,8,22,88,53,146,20,6,0.236,0.307,0.422,0.729
398," Cuevas, N",0.558,0.2583,COL,RF,0.463,75,146,16,34,4,1,2,10,6,24,1,0,0.233,0.268,0.315,0.583
406," McMahon, R",0.558,0.3134,COL,1B,0.562,91,181,17,42,9,1,5,19,18,64,1,0,0.232,0.307,0.376,0.683
433," Murphy, T",0.558,0.1274,COL,C,0.228,37,93,5,21,7,1,2,11,3,44,0,1,0.226,0.25,0.387,0.637
444," Iannetta, C",0.558,0.3789,COL,C,0.679,110,299,36,67,13,1,11,36,50,87,0,0,0.224,0.345,0.385,0.73
544," Tapia, R",0.558,0.0861,COL,CF,0.154,25,25,6,5,2,1,1,6,2,7,0,0,0.2,0.259,0.48,0.739
564," Butera, D",0.558,0.2101,COL,C,0.377,61,163,13,31,9,0,3,21,15,39,0,0,0.19,0.264,0.301,0.564
607," Castro, D",0.558,0.0620,COL,2B,0.111,18,46,2,8,1,0,1,6,1,7,0,0,0.174,0.191,0.261,0.452
610," Wolters, T",0.558,0.2549,COL,C,0.457,74,182,19,31,4,4,3,27,26,33,2,0,0.17,0.292,0.286,0.577
649," Valaika, P",0.558,0.2342,COL,3B,0.420,68,122,8,19,5,0,2,5,9,30,0,0,0.156,0.214,0.246,0.46
711," Anderson, T",0.558,0.1102,COL,P,0.198,32,50,7,5,0,0,0,1,3,32,0,0,0.1,0.167,0.1,0.267
720," Tauchman, M",0.558,0.0723,COL,CF,0.130,21,32,5,3,1,0,0,0,4,15,1,0,0.094,0.194,0.125,0.319
722," Freeland, K",0.558,0.1033,COL,P,0.185,30,65,5,6,2,0,0,2,2,40,0,0,0.092,0.119,0.123,0.242
732," Bettis, C",0.558,0.0896,COL,P,0.160,26,34,2,3,0,0,0,2,2,18,0,0,0.088,0.139,0.088,0.227
736," Senzatela, A",0.558,0.0758,COL,P,0.136,22,24,1,2,1,0,0,3,0,13,0,0,0.083,0.083,0.125,0.208
739," Gray, J",0.558,0.0999,COL,P,0.179,29,52,2,4,2,0,0,2,3,30,0,0,0.077,0.127,0.115,0.243
772," Almonte, Y",0.558,0.0482,COL,P,0.086,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906," Musgrave, H",0.558,0.1102,COL,P,0.198,32,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1029," Casilla, S",0.558,0.0069,COL,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050," Davis, W",0.558,0.2204,COL,P,0.395,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059," Dunn, M",0.558,0.0861,COL,P,0.154,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097," Hoffman, J",0.558,0.0207,COL,P,0.037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102," Howard, S",0.558,0.0138,COL,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108," Johnson, DJ",0.558,0.0241,COL,P,0.043,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142," McGee, J",0.558,0.1963,COL,P,0.352,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163," Oberg, S",0.558,0.1826,COL,P,0.327,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164," Oh, S",0.558,0.0930,COL,P,0.167,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170," Ottavino, A",0.558,0.2411,COL,P,0.432,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184," Pounders, B",0.558,0.0482,COL,P,0.086,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211," Shaw, B",0.558,0.2032,COL,P,0.364,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14," Garneau, D",0.383,0.0024,CWS,C,0.006,1,2,0,1,0,0,0,1,1,0,0,0,0.5,0.667,0.5,1.167
129," LaMarre, R",0.383,0.1797,CWS,CF,0.469,76,165,15,46,11,0,2,18,10,53,2,2,0.279,0.322,0.382,0.704
148," Narvaez, O",0.383,0.2293,CWS,C,0.599,97,280,30,77,14,1,9,30,38,65,0,2,0.275,0.366,0.429,0.794
156," Skole, M",0.383,0.0095,CWS,1B,0.025,4,11,2,3,0,0,1,1,2,3,0,0,0.273,0.385,0.545,0.93
164," Garcia, L",0.383,0.1939,CWS,LF,0.506,82,258,23,70,7,4,4,32,9,69,12,1,0.271,0.303,0.376,0.679
199," Abreu, J",0.383,0.3026,CWS,1B,0.790,128,499,68,132,36,1,22,78,37,109,2,0,0.265,0.325,0.473,0.798
204," Tilson, C",0.383,0.0969,CWS,CF,0.253,41,106,7,28,1,1,0,11,10,20,2,3,0.264,0.331,0.292,0.623
237," Castillo, W",0.383,0.1158,CWS,C,0.302,49,170,17,44,7,0,6,15,9,46,1,0,0.259,0.304,0.406,0.71
345," Sanchez, Y",0.383,0.3665,CWS,3B,0.957,155,600,62,145,34,10,8,55,49,138,14,6,0.242,0.306,0.372,0.678
356," Anderson, T",0.383,0.3617,CWS,SS,0.944,153,567,77,136,28,3,20,64,30,149,26,8,0.24,0.281,0.406,0.687
357," Palka, D",0.383,0.2932,CWS,RF,0.765,124,417,56,100,15,3,27,67,30,153,2,1,0.24,0.294,0.484,0.778
377," Garcia, A",0.383,0.2199,CWS,RF,0.574,93,356,47,84,11,2,19,49,20,102,3,1,0.236,0.281,0.438,0.719
380," Engel, A",0.383,0.3381,CWS,CF,0.883,143,429,49,101,17,4,6,29,18,129,16,8,0.235,0.279,0.336,0.614
383," Moncada, Y",0.383,0.3523,CWS,2B,0.920,149,578,73,136,32,6,17,61,67,217,12,6,0.235,0.315,0.4,0.714
416," Rondon, J",0.383,0.0993,CWS,2B,0.259,42,100,15,23,6,0,6,14,7,30,2,1,0.23,0.28,0.47,0.75
423," Davidson, M",0.383,0.2908,CWS,DH,0.759,123,434,51,99,23,0,20,62,52,165,0,0,0.228,0.319,0.419,0.738
481," Delmonico, N",0.383,0.2080,CWS,LF,0.543,88,284,31,61,11,5,8,25,27,80,1,2,0.215,0.296,0.373,0.669
631," Shields, J",0.383,0.0071,CWS,P,0.019,3,6,0,1,0,0,0,0,0,3,0,0,0.167,0.167,0.167,0.333
691," Thompson, T",0.383,0.1206,CWS,RF,0.315,51,128,15,15,3,0,3,9,7,50,3,1,0.117,0.162,0.211,0.373
699," Gonzalez, A",0.383,0.0071,CWS,C,0.019,3,9,0,1,0,0,0,1,0,4,0,0,0.111,0.111,0.111,0.222
705," Cordell, R",0.383,0.0449,CWS,CF,0.117,19,37,3,4,1,0,1,4,0,15,0,0,0.108,0.125,0.216,0.341
809," Covey, D",0.383,0.0024,CWS,P,0.006,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
837," Giolito, L",0.383,0.0071,CWS,P,0.019,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0
882," Lopez, R",0.383,0.0024,CWS,P,0.006,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
942," Santiago, H",0.383,0.0118,CWS,P,0.031,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1024," Bummer, A",0.383,0.0095,CWS,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070," Fry, J",0.383,0.0071,CWS,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072," Fulmer, C",0.383,0.0024,CWS,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110," Jones, N",0.383,0.0071,CWS,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147," Minaya, J",0.383,0.0047,CWS,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203," Rondon, B",0.383,0.0118,CWS,P,0.031,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248," Volstad, C",0.383,0.0095,CWS,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65," Castro, H",0.395,0.0146,DET,3B,0.037,6,10,2,3,0,0,0,0,0,2,1,0,0.3,0.3,0.3,0.6
72," Cabrera, M",0.395,0.0927,DET,1B,0.235,38,134,17,40,11,0,3,22,22,27,0,0,0.299,0.395,0.448,0.843
73," Castellanos, N",0.395,0.3828,DET,RF,0.969,157,620,88,185,46,5,23,89,49,151,2,1,0.298,0.354,0.5,0.854
173," Iglesias, J",0.395,0.3048,DET,SS,0.772,125,432,43,116,31,3,5,48,19,47,15,6,0.269,0.31,0.389,0.699
181," Adduci, J",0.395,0.1439,DET,1B,0.364,59,176,19,47,8,2,3,21,6,45,1,0,0.267,0.29,0.386,0.676
187," Stewart, C",0.395,0.0415,DET,LF,0.105,17,60,7,16,1,1,2,10,10,13,0,0,0.267,0.375,0.417,0.792
227," Hicks, J",0.395,0.1975,DET,1B,0.500,81,288,35,75,12,1,9,32,22,84,0,1,0.26,0.312,0.403,0.715
283," Martinez, V",0.395,0.3243,DET,DH,0.821,133,467,32,117,21,0,9,54,32,49,0,0,0.251,0.297,0.353,0.651
328," Goodrum, N",0.395,0.3194,DET,2B,0.809,131,444,55,109,29,3,16,53,42,132,12,4,0.245,0.315,0.432,0.747
442," Candelario, J",0.395,0.3511,DET,3B,0.889,144,539,78,121,28,3,19,54,66,160,3,2,0.224,0.317,0.393,0.71
456," Reyes, V",0.395,0.2438,DET,LF,0.617,100,212,35,47,5,3,1,12,5,46,9,1,0.222,0.239,0.288,0.526
461," McCann, J",0.395,0.2877,DET,C,0.728,118,427,31,94,16,0,8,39,26,116,0,3,0.22,0.267,0.314,0.581
463," Rodriguez, R",0.395,0.1512,DET,2B,0.383,62,191,17,42,7,0,5,20,10,42,2,0,0.22,0.256,0.335,0.591
467," Greiner, G",0.395,0.0731,DET,C,0.185,30,96,9,21,6,0,0,12,17,32,0,1,0.219,0.328,0.281,0.609
472," Kozma, P",0.395,0.0658,DET,SS,0.167,27,69,7,15,4,1,1,8,2,15,0,1,0.217,0.236,0.348,0.584
486," Lugo, D",0.395,0.0658,DET,2B,0.167,27,94,10,20,4,1,1,8,7,20,0,0,0.213,0.267,0.309,0.576
505," Jones, J",0.395,0.3145,DET,LF,0.796,129,429,54,89,22,6,11,34,24,142,13,5,0.207,0.266,0.364,0.63
514," Machado, D",0.395,0.1634,DET,2B,0.414,67,214,20,44,13,1,1,21,14,41,1,1,0.206,0.263,0.29,0.553
526," Mahtook, M",0.395,0.1634,DET,CF,0.414,67,223,24,45,4,2,9,29,21,66,4,1,0.202,0.276,0.359,0.635
715," Gerber, M",0.395,0.0439,DET,CF,0.111,18,42,2,4,1,0,0,2,4,21,0,0,0.095,0.17,0.119,0.289
791," Boyd, M",0.395,0.0049,DET,P,0.012,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
828," Fulmer, M",0.395,0.0073,DET,P,0.019,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0
878," Liriano, F",0.395,0.0024,DET,P,0.006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909," Norris, D",0.395,0.0049,DET,P,0.012,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
918," Peterson, D",0.395,0.0049,DET,RF,0.012,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
940," Saltalamacchia, J",0.395,0.0122,DET,C,0.031,5,7,0,0,0,0,0,0,1,4,0,0,0,0.125,0,0.125
943," Saupold, W",0.395,0.0073,DET,P,0.019,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
