Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
1," Allard, K",0.556,0.0103,ATL,P,0.019,3,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2
7," Sobotka, C",0.556,0.0480,ATL,P,0.086,14,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
11," Biddle, J",0.556,0.1922,ATL,P,0.346,56,2,0,1,1,0,0,1,0,0,0,0,0.5,0.5,1,1.5
53," Freeman, F",0.556,0.5560,ATL,1B,1.000,162,618,94,191,44,4,23,98,76,132,10,3,0.309,0.388,0.505,0.892
75," Markakis, N",0.556,0.5560,ATL,RF,1.000,162,623,78,185,43,2,14,93,72,80,1,1,0.297,0.366,0.44,0.806
82," Acuna Jr., R",0.556,0.3810,ATL,LF,0.685,111,433,78,127,26,4,26,64,45,123,16,5,0.293,0.366,0.552,0.917
111," Reed, M",0.556,0.0240,ATL,CF,0.043,7,7,1,2,0,0,0,0,0,3,0,0,0.286,0.286,0.286,0.571
161," Camargo, J",0.556,0.4599,ATL,3B,0.827,134,464,63,126,27,1,19,76,51,108,1,1,0.272,0.349,0.457,0.806
166," Suzuki, K",0.556,0.3604,ATL,C,0.648,105,347,45,94,24,0,12,50,22,43,0,0,0.271,0.332,0.444,0.776
168," Culberson, C",0.556,0.3878,ATL,LF,0.698,113,296,47,80,18,2,12,45,21,85,4,2,0.27,0.326,0.466,0.792
196," Inciarte, E",0.556,0.5354,ATL,CF,0.963,156,597,83,158,27,6,10,61,49,86,28,14,0.265,0.325,0.38,0.705
223," Albies, O",0.556,0.5423,ATL,2B,0.975,158,639,105,167,40,5,24,72,36,116,14,3,0.261,0.305,0.452,0.757
351," Duda, L",0.556,0.3672,ATL,1B,0.660,107,328,35,79,14,1,14,50,28,102,1,0,0.241,0.313,0.418,0.731
354," Adams, L",0.556,0.0892,ATL,CF,0.160,26,25,10,6,1,0,2,6,4,8,1,0,0.24,0.345,0.52,0.865
365," Swanson, D",0.556,0.4668,ATL,SS,0.840,136,478,51,114,25,4,14,59,44,122,10,4,0.238,0.304,0.395,0.699
401," Rivera, R",0.556,0.1133,ATL,C,0.204,33,86,8,20,4,0,4,11,4,35,0,0,0.233,0.275,0.419,0.693
421," Tucker, P",0.556,0.3329,ATL,LF,0.599,97,166,19,38,11,0,6,27,13,43,0,0,0.229,0.299,0.404,0.703
